driver_id,lap_number,stint_lap,compound,last_lap_time_s,rolling_lap_time_s,gap_ahead_s,gap_behind_s,position,pit_window_start_lap,pit_window_end_lap,pit_window_center_lap,pit_stop_proba
ALB,1,0,MEDIUM,,,,,,7.0,7.0,7.0,0.8777916364453221
ALB,2,0,MEDIUM,97.553,97.553,,,,7.0,7.0,7.0,0.364526772036786
ALB,3,0,MEDIUM,95.986,96.7695,,,,7.0,7.0,7.0,0.3702853572665454
ALB,4,0,MEDIUM,95.553,96.364,,,,7.0,7.0,7.0,0.3727751276738809
ALB,5,0,MEDIUM,95.59,95.70966666666668,,,,7.0,7.0,7.0,0.37582010117897674
ALB,6,0,MEDIUM,95.977,95.70666666666666,,,,7.0,7.0,7.0,0.3753156116295008
ALB,7,0,MEDIUM,131.613,107.72666666666667,,,,,,,0.27770610563089515
ALB,8,1,HARD,179.983,135.85766666666666,,,,,,,0.12279882741122092
ALB,9,2,HARD,145.427,152.341,,,,,,,0.09386182618257
ALB,10,3,HARD,100.318,141.90933333333334,,,,,,,0.12295590317684964
ALB,11,4,HARD,96.232,113.99233333333332,,,,,,,0.17603270867660012
ALB,12,5,HARD,95.441,97.33033333333331,,,,,,,0.2028949752462565
ALB,13,6,HARD,95.213,95.62866666666666,,,,,,,0.18265658380915267
ALB,14,7,HARD,95.181,95.27833333333332,,,,,,,0.16016334351096406
ALB,15,8,HARD,95.533,95.309,,,,,,,0.1387796242171815
ALB,16,9,HARD,96.47,95.728,,,,,,,0.11866867518984657
ALB,17,10,HARD,97.029,96.344,,,,,,,0.10096472276358613
ALB,18,11,HARD,95.608,96.369,,,,,,,0.08748368519788867
ALB,19,12,HARD,95.064,95.90033333333334,,,,,,,0.0759985335912159
ALB,20,13,HARD,95.278,95.31666666666666,,,,,,,0.06578864514637209
ALB,21,14,HARD,94.82,95.054,,,,,,,0.05672446952049412
ALB,22,15,HARD,96.016,95.37133333333334,,,,,,,0.047869886661338325
ALB,23,16,HARD,95.363,95.39966666666668,,,,,,,0.0409781772782946
ALB,24,17,HARD,95.967,95.782,,,,,,,0.03456071200077099
ALB,25,18,HARD,96.124,95.818,,,,,,,0.02938889844107424
ALB,26,19,HARD,96.633,96.24133333333332,,,,,,,0.024732699151103352
ALB,27,20,HARD,96.127,96.29466666666669,,,,,,,0.02107042235941754
ALB,28,21,HARD,96.166,96.30866666666668,,,,,,,0.01789962080225833
ALB,29,22,HARD,95.687,95.99333333333334,,,,,,,0.01534309446129587
ALB,30,23,HARD,96.135,95.996,,,,,,,0.012995634545415479
ALB,31,24,HARD,95.84,95.88733333333334,,,,,,,0.011074217669900318
ALB,32,25,HARD,95.621,95.86533333333334,,,,,,,0.009413776615949634
ALB,33,26,HARD,95.221,95.56066666666668,,,,,,,0.008053971627194578
ALB,34,27,HARD,94.524,95.122,,,,,,,0.006919414150190188
ALB,35,28,HARD,95.05,94.93166666666669,,,,,,,0.0058732160583917
ALB,36,29,HARD,93.987,94.52033333333333,,,,,,,0.005052031848891342
ALB,37,30,HARD,93.939,94.32533333333332,,,,,,,0.004301387932446313
ALB,38,31,HARD,93.673,93.86633333333332,,,,,,,0.003685940337359376
ALB,39,32,HARD,93.504,93.70533333333331,,,,,,,0.0031376492360856057
ALB,40,33,HARD,93.424,93.53366666666666,,,,,,,0.002669917933758559
ALB,41,34,HARD,93.75,93.55933333333331,,,,,,,0.002257506226532983
ALB,42,35,HARD,92.85,93.34133333333334,,,,,,,0.001931533514923257
ALB,43,36,HARD,92.994,93.198,,,,,,,0.0016402660844207875
ALB,44,37,HARD,92.997,92.947,,,,,,,0.0013970103934728346
ALB,45,38,HARD,92.564,92.85166666666667,,,,,,,0.0011890130450526008
ALB,46,39,HARD,92.54,92.70033333333332,,,,,,,0.0010107333853730223
ALB,47,40,HARD,93.858,92.98733333333332,,,,,,,0.0008450959958109217
ALB,48,41,HARD,92.711,93.03633333333336,,,,,,,0.0007200511329553122
ALB,49,42,HARD,92.56,93.043,,,,,,,0.0006105384171349284
ALB,50,43,HARD,92.307,92.526,,,,,,,0.0005234781319244223
ALO,1,0,MEDIUM,,,,,,7.0,7.0,7.0,0.8777916364453221
ALO,2,0,MEDIUM,95.724,95.724,,,,7.0,7.0,7.0,0.3755725891033233
ALO,3,0,MEDIUM,94.439,95.0815,,,,7.0,7.0,7.0,0.3803494822737985
ALO,4,0,MEDIUM,94.746,94.96966666666668,,,,7.0,7.0,7.0,0.38046821087921207
ALO,5,0,MEDIUM,94.512,94.56566666666669,,,,7.0,7.0,7.0,0.3827089314536518
ALO,6,0,MEDIUM,94.48,94.57933333333334,,,,7.0,7.0,7.0,0.3826869397887786
ALO,7,0,MEDIUM,126.883,105.29166666666669,,,,,,,0.29324715543401175
ALO,8,1,HARD,185.292,135.55166666666665,,,,,,,0.12021967634234802
ALO,9,2,HARD,154.968,155.71433333333331,,,,,,,0.08393725757343545
ALO,10,3,HARD,97.296,145.852,,,,,,,0.1163893134267376
ALO,11,4,HARD,94.53,115.598,,,,,,,0.17276485174451542
ALO,12,5,HARD,94.735,95.52033333333334,,,,,,,0.2095378929214513
ALO,13,6,HARD,94.664,94.643,,,,,,,0.1861217091454315
ALO,14,7,HARD,94.877,94.75866666666668,,,,,,,0.16181542314132075
ALO,15,8,HARD,94.678,94.73966666666666,,,,,,,0.1407493548273186
ALO,16,9,HARD,94.773,94.776,,,,,,,0.1217271143619833
ALO,17,10,HARD,94.695,94.71533333333332,,,,,,,0.10523890541266233
ALO,18,11,HARD,94.651,94.70633333333332,,,,,,,0.09065120951869939
ALO,19,12,HARD,94.576,94.64066666666666,,,,,,,0.07800450584037442
ALO,20,13,HARD,94.39,94.539,,,,,,,0.06707729774988644
ALO,21,14,HARD,94.378,94.448,,,,,,,0.05751959353588541
ALO,22,15,HARD,94.173,94.31366666666668,,,,,,,0.049344558036067826
ALO,23,16,HARD,93.958,94.16966666666669,,,,,,,0.042289506150408496
ALO,24,17,HARD,94.033,94.05466666666666,,,,,,,0.03612655110917729
ALO,25,18,HARD,93.89,93.96033333333332,,,,,,,0.030857593073075736
ALO,26,19,HARD,93.841,93.92133333333334,,,,,,,0.026293706592714357
ALO,27,20,HARD,93.58,93.77033333333333,,,,,,,0.022465381013359556
ALO,28,21,HARD,93.863,93.76133333333333,,,,,,,0.01907134435034531
ALO,29,22,HARD,93.682,93.70833333333331,,,,,,,0.016238043689448717
ALO,30,23,HARD,93.493,93.67933333333332,,,,,,,0.013813756550671893
ALO,31,24,HARD,93.67,93.615,,,,,,,0.011731096203507563
ALO,32,25,HARD,93.398,93.52033333333333,,,,,,,0.009990652088802975
ALO,33,26,HARD,93.452,93.50666666666666,,,,,,,0.008476742850285327
ALO,34,27,HARD,93.261,93.37033333333332,,,,,,,0.007218306205023778
ALO,35,28,HARD,93.395,93.36933333333332,,,,,,,0.006117563271558966
ALO,36,29,HARD,93.014,93.22333333333331,,,,,,,0.00521416597041122
ALO,37,30,HARD,93.116,93.175,,,,,,,0.004422691976525714
ALO,38,31,HARD,92.937,93.02233333333334,,,,,,,0.0037648049281916976
ALO,39,32,HARD,92.692,92.915,,,,,,,0.003202746562986784
ALO,40,33,HARD,92.427,92.68533333333332,,,,,,,0.0027314013236519516
ALO,41,34,HARD,92.662,92.59366666666666,,,,,,,0.0023161818663174657
ALO,42,35,HARD,92.41,92.49966666666668,,,,,,,0.001969514228393691
ALO,43,36,HARD,92.387,92.48633333333332,,,,,,,0.001669741757126445
ALO,44,37,HARD,92.474,92.42366666666668,,,,,,,0.0014160514479539515
ALO,45,38,HARD,92.413,92.42466666666668,,,,,,,0.0012003315378875056
ALO,46,39,HARD,92.641,92.50933333333334,,,,,,,0.0010140503573995542
ALO,47,40,HARD,92.579,92.54433333333331,,,,,,,0.0008589336850054267
ALO,48,41,HARD,92.629,92.61633333333332,,,,,,,0.0007265196990481175
ALO,49,42,HARD,92.389,92.53233333333333,,,,,,,0.0006174657754502693
ALO,50,43,HARD,92.779,92.599,,,,,,,0.0005213000379346356
BEA,1,0,SOFT,,,,,,7.0,7.0,7.0,0.8777916364453221
BEA,2,0,SOFT,97.415,97.415,,,,7.0,7.0,7.0,0.3653553969018434
BEA,3,0,SOFT,95.515,96.465,,,,7.0,7.0,7.0,0.3723491358379129
BEA,4,0,SOFT,95.645,96.19166666666666,,,,7.0,7.0,7.0,0.3734661171708152
BEA,5,0,SOFT,95.593,95.58433333333332,,,,7.0,7.0,7.0,0.37640995937052574
BEA,6,0,SOFT,96.122,95.78666666666668,,,,7.0,7.0,7.0,0.3747427425755925
BEA,7,0,SOFT,131.168,107.62766666666668,,,,,,,0.27861816193193084
BEA,8,1,HARD,179.588,135.626,,,,,,,0.12354788317268249
BEA,9,2,HARD,147.117,152.62433333333334,,,,,,,0.09256186921062545
BEA,10,3,HARD,98.427,141.71066666666667,,,,,,,0.12456291337734156
BEA,11,4,HARD,95.645,113.72966666666666,,,,,,,0.17729216821504495
BEA,12,5,HARD,94.907,96.32633333333332,,,,,,,0.20669361075414464
BEA,13,6,HARD,95.153,95.235,,,,,,,0.18389783447979016
BEA,14,7,HARD,95.479,95.17966666666666,,,,,,,0.1602022599858404
BEA,15,8,HARD,95.118,95.25,,,,,,,0.13920604573381215
BEA,16,9,HARD,94.715,95.104,,,,,,,0.12105604550556182
BEA,17,10,HARD,94.681,94.838,,,,,,,0.105013405124898
BEA,18,11,HARD,95.27,94.88866666666668,,,,,,,0.09005782794090916
BEA,19,12,HARD,95.616,95.189,,,,,,,0.07678944068874212
BEA,20,13,HARD,94.828,95.238,,,,,,,0.06604480573100127
