driver_id,lap_number,stint_lap,compound,last_lap_time_s,rolling_lap_time_s,gap_ahead_s,gap_behind_s,position,pit_window_start_lap,pit_window_end_lap,pit_window_center_lap
ALB,1,0,HARD,,,,,,7.0,7.0,7.0
ALB,2,0,HARD,89.828,89.828,,,,7.0,7.0,7.0
ALB,3,0,HARD,88.892,89.36,,,,7.0,7.0,7.0
ALB,4,0,HARD,88.916,89.21199999999999,,,,7.0,7.0,7.0
ALB,5,0,HARD,88.583,88.79699999999998,,,,7.0,7.0,7.0
ALB,6,0,HARD,88.381,88.62666666666667,,,,7.0,7.0,7.0
ALB,7,0,HARD,109.685,95.54966666666667,,,,32.0,32.0,32.0
ALB,8,1,MEDIUM,134.429,110.83166666666666,,,,32.0,32.0,32.0
ALB,9,2,MEDIUM,141.373,128.49566666666666,,,,32.0,32.0,32.0
ALB,10,3,MEDIUM,130.916,135.57266666666666,,,,32.0,32.0,32.0
ALB,11,4,MEDIUM,88.247,120.17866666666667,,,,32.0,32.0,32.0
ALB,12,5,MEDIUM,88.305,102.48933333333333,,,,32.0,32.0,32.0
ALB,13,6,MEDIUM,88.153,88.23500000000001,,,,32.0,32.0,32.0
ALB,14,7,MEDIUM,87.671,88.043,,,,32.0,32.0,32.0
ALB,15,8,MEDIUM,87.841,87.88833333333334,,,,32.0,32.0,32.0
ALB,16,9,MEDIUM,87.648,87.71999999999998,,,,32.0,32.0,32.0
ALB,17,10,MEDIUM,87.683,87.724,,,,32.0,32.0,32.0
ALB,18,11,MEDIUM,87.609,87.64666666666666,,,,32.0,32.0,32.0
ALB,19,12,MEDIUM,87.552,87.61466666666666,,,,32.0,32.0,32.0
ALB,20,13,MEDIUM,87.586,87.58233333333334,,,,32.0,32.0,32.0
ALB,21,14,MEDIUM,87.617,87.585,,,,32.0,32.0,32.0
ALB,22,15,MEDIUM,87.74,87.64766666666667,,,,32.0,32.0,32.0
ALB,23,16,MEDIUM,87.57,87.64233333333334,,,,32.0,32.0,32.0
ALB,24,17,MEDIUM,87.534,87.61466666666666,,,,32.0,32.0,32.0
ALB,25,18,MEDIUM,87.38,87.49466666666666,,,,32.0,32.0,32.0
ALB,26,19,MEDIUM,87.431,87.44833333333334,,,,32.0,32.0,32.0
ALB,27,20,MEDIUM,87.343,87.38466666666666,,,,32.0,32.0,32.0
ALB,28,21,MEDIUM,87.511,87.42833333333333,,,,32.0,32.0,32.0
ALB,29,22,MEDIUM,87.41,87.42133333333334,,,,32.0,32.0,32.0
ALB,30,23,MEDIUM,87.373,87.43133333333333,,,,32.0,32.0,32.0
ALB,31,24,MEDIUM,87.123,87.302,,,,32.0,32.0,32.0
ALB,32,0,MEDIUM,91.241,88.57900000000001,,,,,,
ALB,33,1,MEDIUM,108.167,95.51033333333334,,,,,,
ALB,34,2,MEDIUM,85.421,94.943,,,,,,
ALB,35,3,MEDIUM,85.658,93.082,,,,,,
ALB,36,4,MEDIUM,85.891,85.65666666666668,,,,,,
ALB,37,5,MEDIUM,86.097,85.882,,,,,,
ALB,38,6,MEDIUM,85.841,85.943,,,,,,
ALB,39,7,MEDIUM,85.943,85.96033333333332,,,,,,
ALB,40,8,MEDIUM,85.875,85.88633333333333,,,,,,
ALB,41,9,MEDIUM,85.757,85.85833333333333,,,,,,
ALB,42,10,MEDIUM,85.61,85.74733333333334,,,,,,
ALB,43,11,MEDIUM,85.617,85.66133333333335,,,,,,
ALB,44,12,MEDIUM,85.582,85.603,,,,,,
ALB,45,13,MEDIUM,85.427,85.54199999999999,,,,,,
ALB,46,14,MEDIUM,85.68,85.563,,,,,,
ALB,47,15,MEDIUM,85.236,85.44766666666668,,,,,,
