driver_id,lap_number,stint_lap,compound,last_lap_time_s,rolling_lap_time_s,gap_ahead_s,gap_behind_s,position,pit_window_start_lap,pit_window_end_lap,pit_window_center_lap,pit_stop_proba
ALB,1,0,HARD,,,,,,7.0,7.0,7.0,0.9657549822821957
ALB,2,0,HARD,89.828,89.828,,,,7.0,7.0,7.0,0.23967235169859957
ALB,3,0,HARD,88.892,89.36,,,,7.0,7.0,7.0,0.24347506239619027
ALB,4,0,HARD,88.916,89.21199999999999,,,,7.0,7.0,7.0,0.24502203437291994
ALB,5,0,HARD,88.583,88.79699999999998,,,,7.0,7.0,7.0,0.24896992880514707
ALB,6,0,HARD,88.381,88.62666666666667,,,,7.0,7.0,7.0,0.25053292226031976
ALB,7,0,HARD,109.685,95.54966666666668,,,,32.0,32.0,32.0,0.20416504779712072
ALB,8,1,MEDIUM,134.429,110.83166666666666,,,,32.0,32.0,32.0,0.12234445943141868
ALB,9,2,MEDIUM,141.373,128.49566666666666,,,,32.0,32.0,32.0,0.05656636369764147
ALB,10,3,MEDIUM,130.916,135.57266666666666,,,,32.0,32.0,32.0,0.040432171291132864
ALB,11,4,MEDIUM,88.247,120.17866666666669,,,,32.0,32.0,32.0,0.07938407186843562
ALB,12,5,MEDIUM,88.305,102.48933333333332,,,,32.0,32.0,32.0,0.20355986602727374
ALB,13,6,MEDIUM,88.153,88.23500000000001,,,,32.0,32.0,32.0,0.3845745183329108
ALB,14,7,MEDIUM,87.671,88.043,,,,32.0,32.0,32.0,0.41062745960495095
ALB,15,8,MEDIUM,87.841,87.88833333333334,,,,32.0,32.0,32.0,0.43759070657622323
ALB,16,9,MEDIUM,87.648,87.71999999999998,,,,32.0,32.0,32.0,0.46460450007732973
ALB,17,10,MEDIUM,87.683,87.724,,,,32.0,32.0,32.0,0.48975195986388526
ALB,18,11,MEDIUM,87.609,87.64666666666666,,,,32.0,32.0,32.0,0.5159284134764394
ALB,19,12,MEDIUM,87.552,87.61466666666666,,,,32.0,32.0,32.0,0.5414147913966821
ALB,20,13,MEDIUM,87.586,87.58233333333334,,,,32.0,32.0,32.0,0.5668177191804574
ALB,21,14,MEDIUM,87.617,87.585,,,,32.0,32.0,32.0,0.5913990608519171
ALB,22,15,MEDIUM,87.74,87.64766666666667,,,,32.0,32.0,32.0,0.6148640894479995
ALB,23,16,MEDIUM,87.57,87.64233333333334,,,,32.0,32.0,32.0,0.6382974744828425
ALB,24,17,MEDIUM,87.534,87.61466666666666,,,,32.0,32.0,32.0,0.6615399957414332
ALB,25,18,MEDIUM,87.38,87.49466666666666,,,,32.0,32.0,32.0,0.684994384271528
ALB,26,19,MEDIUM,87.431,87.44833333333334,,,,32.0,32.0,32.0,0.7069333086686215
ALB,27,20,MEDIUM,87.343,87.38466666666666,,,,32.0,32.0,32.0,0.7279860380393419
ALB,28,21,MEDIUM,87.511,87.42833333333333,,,,32.0,32.0,32.0,0.7472115315166272
ALB,29,22,MEDIUM,87.41,87.42133333333334,,,,32.0,32.0,32.0,0.7657482752221314
ALB,30,23,MEDIUM,87.373,87.43133333333333,,,,32.0,32.0,32.0,0.783220833553483
ALB,31,24,MEDIUM,87.123,87.302,,,,32.0,32.0,32.0,0.8007783321665283
ALB,32,0,MEDIUM,91.241,88.57900000000001,,,,,,,0.2540970379439019
ALB,33,1,MEDIUM,108.167,95.51033333333334,,,,,,,0.21993503614664298
ALB,34,2,MEDIUM,85.421,94.943,,,,,,,0.22050330081481004
ALB,35,3,MEDIUM,85.658,93.082,,,,,,,0.2579064486369739
ALB,36,4,MEDIUM,85.891,85.65666666666668,,,,,,,0.36793538034797774
ALB,37,5,MEDIUM,86.097,85.882,,,,,,,0.3889753210853472
ALB,38,6,MEDIUM,85.841,85.943,,,,,,,0.4120184505608519
ALB,39,7,MEDIUM,85.943,85.96033333333332,,,,,,,0.4365517765342479
ALB,40,8,MEDIUM,85.875,85.88633333333333,,,,,,,0.4624242415181551
ALB,41,9,MEDIUM,85.757,85.85833333333333,,,,,,,0.4877894938680606
ALB,42,10,MEDIUM,85.61,85.74733333333334,,,,,,,0.5143316536310052
ALB,43,11,MEDIUM,85.617,85.66133333333335,,,,,,,0.5406645082632633
ALB,44,12,MEDIUM,85.582,85.603,,,,,,,0.5663352006691698
ALB,45,13,MEDIUM,85.427,85.54199999999999,,,,,,,0.591526067266019
ALB,46,14,MEDIUM,85.68,85.563,,,,,,,0.6157126210308559
ALB,47,15,MEDIUM,85.236,85.44766666666668,,,,,,,0.6401784882969087
ALB,48,16,MEDIUM,85.328,85.41466666666668,,,,,,,0.6635924754143209
ALB,49,17,MEDIUM,85.184,85.24933333333333,,,,,,,0.6875269140760549
ALB,50,18,MEDIUM,85.03,85.18066666666667,,,,,,,0.7093808269756342
ALB,51,19,MEDIUM,84.792,85.002,,,,,,,0.7314173520581758
ALB,52,20,MEDIUM,84.866,84.896,,,,,,,0.7519418506527537
ALB,53,21,MEDIUM,84.593,84.75033333333333,,,,,,,0.7714303830754271
ALB,54,22,MEDIUM,84.584,84.681,,,,,,,0.7893583610579983
ALB,55,23,MEDIUM,84.704,84.627,,,,,,,0.8062143331502752
ALB,56,24,MEDIUM,84.412,84.56666666666666,,,,,,,0.8217347945906183
ALB,57,25,MEDIUM,84.261,84.459,,,,,,,0.8367347610188834
ALO,1,0,MEDIUM,,,,,,7.0,7.0,7.0,0.9657549822821957
ALO,2,0,MEDIUM,88.246,88.246,,,,7.0,7.0,7.0,0.254390105950968
ALO,3,0,MEDIUM,88.081,88.1635,,,,7.0,7.0,7.0,0.255084725828949
ALO,4,0,MEDIUM,87.928,88.085,,,,7.0,7.0,7.0,0.25575114667640797
ALO,5,0,MEDIUM,87.867,87.95866666666666,,,,7.0,7.0,7.0,0.25702681469611294
ALO,6,0,MEDIUM,87.726,87.84033333333333,,,,7.0,7.0,7.0,0.25813428074195716
ALO,7,0,MEDIUM,105.813,93.802,,,,32.0,32.0,32.0,0.2166845330476947
ALO,8,1,MEDIUM,138.694,110.74433333333332,,,,32.0,32.0,32.0,0.12550132345403062
ALO,9,2,MEDIUM,141.052,128.51966666666667,,,,32.0,32.0,32.0,0.056397994598383724
ALO,10,3,MEDIUM,137.487,139.07766666666666,,,,32.0,32.0,32.0,0.03473028197568947
ALO,11,4,MEDIUM,87.797,122.112,,,,32.0,32.0,32.0,0.07169124458811868
ALO,12,5,MEDIUM,87.486,104.25666666666666,,,,32.0,32.0,32.0,0.18735481023563774
ALO,13,6,MEDIUM,87.724,87.669,,,,32.0,32.0,32.0,0.39148292534412665
ALO,14,7,MEDIUM,87.628,87.61266666666667,,,,32.0,32.0,32.0,0.416381732737456
ALO,15,8,MEDIUM,87.604,87.652,,,,32.0,32.0,32.0,0.4405016136693848
ALO,16,9,MEDIUM,87.386,87.53933333333333,,,,32.0,32.0,32.0,0.46673851137826844
ALO,17,10,MEDIUM,87.571,87.52033333333333,,,,32.0,32.0,32.0,0.4924284312446325
ALO,18,11,MEDIUM,87.38,87.44566666666667,,,,32.0,32.0,32.0,0.5183996188548373
ALO,19,12,MEDIUM,87.457,87.46933333333334,,,,32.0,32.0,32.0,0.5432903321205044
ALO,20,13,MEDIUM,87.325,87.38733333333333,,,,32.0,32.0,32.0,0.5691195282028199
ALO,21,14,MEDIUM,87.367,87.383,,,,32.0,32.0,32.0,0.5937730110685627
ALO,22,15,MEDIUM,87.313,87.335,,,,32.0,32.0,32.0,0.6184082901509346
ALO,23,16,MEDIUM,87.191,87.29033333333332,,,,32.0,32.0,32.0,0.6423178672830139
ALO,24,17,MEDIUM,86.939,87.14766666666667,,,,32.0,32.0,32.0,0.6665896255042285
ALO,25,18,MEDIUM,87.15,87.09333333333332,,,,32.0,32.0,32.0,0.6895187771879534
